subject,relation,object,context,domain,india_impact,confidence,valid_from,valid_to,source
Xi Jinping,claimed_territory,Arunachal Pradesh,China's territorial assertion under Xi's tenure,GEOPOLITICS,HIGH,0.91,2013-01-01,,Official Chinese statements + media
Xi Jinping,ordered,Border buildup,Ladakh + Himalayan troop concentrations under Xi,DEFENSE,HIGH,0.89,2015-01-01,,Satellite imagery + defense analysis
ISRO,competes_with,CNSA,Space race implications for India's strategic autonomy,TECHNOLOGY,MEDIUM,0.85,2008-01-01,,Space agency announcements
Huawei,banned_by,India,5G infrastructure security concerns post-Galwan,TECHNOLOGY,HIGH,0.91,2020-01-01,,Official government ban
Huawei,deploys_surveillance_in,South Asia,5G networks with intelligence collection potential,TECHNOLOGY,MEDIUM,0.78,2018-01-01,,Security research + geopolitical analysis
Belt and Road Initiative,debt_traps,Sri Lanka,Model case of economic coercion followed by asset seizure,ECONOMICS,HIGH,0.93,2017-01-01,,World Bank + academic analysis
Belt and Road Initiative,debt_traps,Maldives,Similar patterns of debt dependency and vulnerability,ECONOMICS,MEDIUM,0.87,2016-01-01,,Debt sustainability analysis
Belt and Road Initiative,debt_traps,Djibouti,Strategic port vulnerability through debt leverage,ECONOMICS,HIGH,0.91,2018-01-01,,IMF + geopolitical analysis
Tibetan Plateau,dams_threaten,Brahmaputra,Upstream water control affects India's water security,CLIMATE,HIGH,0.88,2010-01-01,,Hydrological + dam studies
Himalayan Glaciers,melting_due_to,Climate Change,Long-term water security threat to India,CLIMATE,HIGH,0.92,2000-01-01,,IPCC + scientific consensus
India,vulnerable_to,Climate induced migration,Bangladesh + Nepal populations pressuring borders,CLIMATE,MEDIUM,0.81,2015-01-01,,Climate policy + demography research
Rohingya Crisis,affects,India,Myanmar refugee flows to Bangladesh create instability,GEOPOLITICS,MEDIUM,0.86,2017-01-01,,UN + humanitarian reports
Kazakhstan,supplies,Uranium,Energy source for India's nuclear program,ECONOMICS,MEDIUM,0.87,2010-01-01,,Energy ministry + trade data
Mongolia,resource_rich,Rare Earth,Potential alternative to China dependence for India,ECONOMICS,MEDIUM,0.72,2015-01-01,,Commodity market analysis
Vietnam,allied_with,India,South China Sea tensions align with India's interests,GEOPOLITICS,MEDIUM,0.83,2015-01-01,,Official bilateral statements
Indonesia,regional_power,Southeast Asia,Strategic importance for India's Indo-Pacific strategy,GEOPOLITICS,MEDIUM,0.82,2015-01-01,,Strategic analysis
Thailand,hosts,US military bases,Relevant for Indo-Pacific power balance,GEOPOLITICS,MEDIUM,0.80,2015-01-01,,Military analyst reports
Singapore,strategic_hub,Indian Ocean,Critical node for Indian trade + energy routes,GEOPOLITICS,MEDIUM,0.88,2015-01-01,,Trade + logistics analysis
Chabahar Port,developed_by,India Iran,Bypass corridor for trade avoiding Pakistan,GEOPOLITICS,MEDIUM,0.85,2015-01-01,,Official joint project announcements
Andaman and Nicobar,strategic_territory,India,Forward deployment zone for Indian Ocean dominance,DEFENSE,HIGH,0.89,2015-01-01,,Military strategy analysis
Lakshadweep,vulnerable_to,China encroachment,Maldives proximity + Chinese influence creep,GEOPOLITICS,MEDIUM,0.75,2020-01-01,,Geopolitical analysis
Kashmir,disputed_territory,India Pakistan,Ongoing conflict affecting regional stability,GEOPOLITICS,HIGH,0.97,1947-01-01,,Historical records + ongoing
Line of Control,divides,Kashmir,Ceasefire line between India + Pakistan since 1949,GEOPOLITICS,HIGH,0.96,1949-01-01,,Treaty documents
Galwan Valley,site_of,Military clash,2020 skirmish killed 20 Indian soldiers,DEFENSE,HIGH,0.98,2020-06-15,2020-06-15,Confirmed military records
Doklam,tri_junction,India China Bhutan,2017 standoff over territorial claim,DEFENSE,HIGH,0.96,2017-06-16,2017-08-28,Incident documentation
Depsang Plains,military_standoff,India China,Ongoing troop presence in disputed zone,DEFENSE,HIGH,0.92,2021-01-01,,Defense ministry reports
Pangong Lake,contested_waterway,India China,2020 clash + ongoing military presence,DEFENSE,HIGH,0.94,2020-09-01,,Defense analysis
Shaksgam Valley,occupied_by,Pakistan China,Territory ceded by Pakistan to China in 1963,GEOPOLITICS,HIGH,0.94,1963-01-01,,Treaty + boundary documents
Indus Waters Treaty,signed_by,India Pakistan,1960 treaty governing water sharing still holds,GEOPOLITICS,MEDIUM,0.96,1960-01-01,,Official treaty documents
Simla Agreement,signed_by,India China,1914 treaty establishing McMahon Line + LAC principles,GEOPOLITICS,HIGH,0.93,1914-01-01,,Historical treaty documents
Operation Sandstone,conducted_by,India,Counter-terrorism operation in Myanmar context,DEFENSE,MEDIUM,0.76,2015-01-01,,Defense ministry sources
Shanghai Cooperation Organization,member,India,Forum for security cooperation with China + Pakistan,GEOPOLITICS,MEDIUM,0.84,2001-01-01,,SCO official documents
BRICS,member,India,Alternative to Western-dominated institutions,GEOPOLITICS,MEDIUM,0.85,2009-01-01,,BRICS official announcements
G20,member,India,Global governance forum with geopolitical weight,GEOPOLITICS,MEDIUM,0.88,1999-01-01,,G20 official documents
WTO,member,India,Trade rule-based system but challenges from China,ECONOMICS,MEDIUM,0.87,1995-01-01,,WTO official documents + trade analysis
